Assay,Sample ID,Dup.,ABS-1,ABS-2,dilution_factor
Pigment,,NA,,,
Pigment,MIS_189,NA,,,
Pigment,MIS_197,NA,,,
Pigment,MIS_204,NA,,,
Pigment,,NA,,,
Pigment,,NA,,,
Pigment,,NA,,,
Pigment,,NA,,,
Pigment,,NA,,,
Pigment,,NA,,,
Extract,Blank,A,0.213,0.211,1
Extract,Blank,B,0.256,0.256,1
Extract,#5,A,1.282,1.283,1
Extract,#5,B,1.204,1.204,1
Extract,MIS_189,A,0.291,0.291,1
Extract,MIS_189,B,0.28,0.28,1
Extract,MIS_197,A,0.256,0.257,1
Extract,MIS_197,B,0.253,0.252,1
Extract,MIS_204,A,0.882,0.881,0.2
Extract,MIS_204,B,0.869,0.868,0.2
Extract,,A,,,
Extract,,B,,,
Extract,,A,,,
Extract,,B,,,
Extract,,A,,,
Extract,,B,,,
Extract,,A,,,
Extract,,B,,,
Extract,,,,,
Extract,,,,,
Extract,,,,,
Extract,,,,,
Extract,,,,,
Extract,,,,,