sample_id,duplicate,ABS1,ABS2,glu_ug_mL
Blank-1,A,0.293,0.293,0
Blank-1,B,0.305,0.304,0
Blank-2,A,0.291,0.291,0
Blank-2,B,0.285,0.285,0
Blank-3,A,0.314,0.313,0
Blank-3,B,0.391,0.392,0
10-1,A,0.384,0.384,9
10-1,B,0.38,0.38,9
10-2,A,0.333,0.334,9
10-2,B,0.393,0.392,9
10-3,A,0.366,0.365,9
10-3,B,0.371,0.37,9
50-1,A,0.635,0.636,45
50-1,B,0.621,0.622,45
50-2,A,0.553,0.553,45
50-2,B,0.803,0.802,45
50-3,A,0.673,0.672,45
50-3,B,0.706,0.705,45
100-1,A,0.979,0.984,90
100-1,B,1.125,1.129,90
100-2,A,1.016,1.015,90
100-2,B,1.08,1.075,90
100-3,A,1.013,1.014,90
100-3,B,0.914,0.914,90