Bag_Labels,Tube_Labels,EPS Mass (g),Protein Mass (g),pH Mass (g),Empty Tin Mass (g),FieldMoist Soil plus Tin Mass (g),OvenDry Soil plus Tin Mass (g),correction factor,Grav. Moisture %,pH FM 2:1 CaCl2 
29,GH1_001,0.96,2.07,5.1,2.85,244.81,217.76,0.888,11.3,
29,GH1_002,1.07,1.99,5.16,X,X,X,0.888,11.3,
30,GH1_003,0.92,2.08,5.13,2.89,266.7,240.37,0.9,9.9,
32,GH1_004,0.94,1.96,5.05,2.85,235.75,184.94,0.782,26.3,
37,GH1_005,0.93,1.83,5.04,2.83,245.07,216.8,0.883,11.9,
38,GH1_006,0.98,1.81,4.85,2.83,223.27,173.38,0.774,27.6,
39,GH1_007,1.02,2.02,4.93,2.83,255.66,229.12,0.895,10.5,
46,GH1_008,0.94,2.1,5.11,2.86,287.91,262.04,0.909,8.9,
47,GH1_009,0.94,1.82,4.8,2.86,272.86,249.81,0.915,8.2,
51,GH1_010,0.94,2.09,5.14,2.84,229.03,206.3,0.9,9.8,
53,GH1_011,1,1.86,5,2.85,222.24,172.98,0.775,27.3,
56,GH1_012,1.05,1.91,5.08,2.85,187.58,149.63,0.795,23.9,
59,GH1_013,1.05,2.1,5.09,2.84,282.92,252.69,0.892,11,
61,GH1_014,1.01,1.87,5.11,2.85,185.65,143.03,0.767,28.4,
79,GH1_015,1,2.09,5.09,2.84,290.69,261.73,0.899,10.1,
80,GH1_016,0.96,2.01,5.11,2.83,194.31,171.19,0.879,12.1,
89,GH1_017,0.99,2.05,4.84,2.85,186.24,152.71,0.817,20.5,
90,GH1_018,0.98,2.13,5.11,2.86,210.51,168.39,0.797,23.7,
93,GH1_019,0.95,2.07,4.96,2.85,207.35,166.47,0.8,23.2,
98,GH1_020,1.06,2.03,5.14,2.87,218.26,171.4,0.782,26.1,
104,GH1_021,1.01,2.15,4.81,2.87,196.92,154.45,0.781,26.1,
106,GH1_022,0.99,2.04,4.89,2.83,218.05,193.02,0.884,11.7,
114,GH1_023,0.93,1.86,4.99,2.86,229.75,177.03,0.768,28.6,
120,GH1_024,1,2.06,4.95,2.86,265.01,239.27,0.902,9.7,
128,GH1_025,1.04,2.01,5.01,2.86,288.37,253.75,0.879,12.7,
129,GH1_026,1,1.8,5.14,2.85,249.17,193.29,0.773,27.8,
132,GH1_027,0.94,1.83,4.81,2.86,225.06,179.77,0.796,24,
143,GH1_028,0.99,1.84,5.14,2.8,215.16,165.72,0.767,28.6,
155,GH1_029,0.91,1.89,5.1,2.84,207.61,190.24,0.915,7.8,
161,GH1_030,1.08,1.9,4.97,2.82,194.11,176.4,0.907,8.6,
164,GH1_031,1.03,1.98,4.91,2.86,243.84,197.66,0.808,22.2,
166,GH1_032,0.94,2.1,4.94,2.85,200.07,182.12,0.909,8.4,
167,GH1_033,0.93,2.02,4.87,2.8,198.37,180.84,0.91,8.3,
169,GH1_034,0.99,2.05,5.13,2.84,280.06,247.56,0.883,12.1,
172,GH1_035,1,2.16,5.08,2.86,260.49,234.34,0.898,10.1,
177,GH1_036,1.19,2.09,5.05,2.84,203.84,172.22,0.843,17,
190,GH1_037,0.97,1.99,4.92,2.88,195.85,162.91,0.829,18.8,
191,GH1_038,0.99,1.92,5.18,2.85,214.25,165.4,0.769,28.3,
195,GH1_039,0.91,2.07,5.03,2.87,249.38,228.62,0.916,7.9,
196,GH1_040,0.93,1.9,5.01,2.8,239.71,190.26,0.791,24.9,
214,GH1_041,0.95,1.96,4.97,2.82,202.7,152.49,0.749,31.7,
215,GH1_042,1.04,1.99,4.86,2.85,253.74,231.42,0.911,8.5,
220,GH1_043,0.91,2.11,5.16,2.86,232.13,209.39,0.901,9.6,
224,GH1_044,0.93,1.86,5.09,2.85,238.43,174.61,0.729,35.5,
236,GH1_045,1.05,1.88,5.01,2.85,266.73,247.91,0.929,6.5,
241,GH1_046,0.98,2.08,4.97,2.84,202.83,160.43,0.788,25.1,
250,GH1_047,0.91,2.04,4.9,2.88,213.31,167.07,0.78,26.4,
254,GH1_048,0.96,2.04,4.8,2.82,183.7,148.37,0.805,22.3,
262,GH1_049,1.01,1.89,4.83,2.82,255.78,239.38,0.935,5.7,
263,GH1_050,0.97,2.14,5.04,2.85,289.98,264.41,0.911,8.7,
270,GH1_051,1.07,2.15,4.92,2.87,255.96,235.5,0.919,7.6,
275,GH1_052,0.94,2.08,5.1,2.84,356.56,330.17,0.925,7.2,
285,GH1_053,1.07,1.8,5,2.87,290.69,269.44,0.926,6.9,
287,GH1_054,0.97,2.02,5.13,2.82,248.4,199.31,0.8,23.5,
293,GH1_055,1.02,1.82,4.97,2.85,228.63,184.73,0.806,22.6,
298,GH1_056,0.98,1.9,4.89,2.84,215.64,166.69,0.77,28.1,
302,GH1_057,0.98,2,4.89,2.82,217.4,175.7,0.806,22.5,
304,GH1_058,0.98,1.92,4.89,2.84,267.65,244.9,0.914,8.2,
316,GH1_059,0.94,1.82,4.81,2.83,268.41,214.09,0.795,24.4,
319,GH1_060,0.91,1.92,4.89,2.85,262.15,234.37,0.893,10.8,
339,GH1_061,0.93,2.1,5.1,2.9,299.52,267.22,0.891,11.1,
342,GH1_062,1,1.99,4.88,2.84,291.58,269.08,0.922,7.4,
344,GH1_063,0.9,2.04,5.08,2.84,310.87,284.55,0.915,8.3,
345,GH1_064,0.93,1.81,5.12,2.85,266.43,245.27,0.92,7.6,
347,GH1_065,0.95,2,4.99,2.82,275.2,220.64,0.8,23.8,
351,GH1_066,1.1,2.16,4.92,2.83,279.11,258.64,0.926,6.9,
354,GH1_067,0.97,1.97,4.9,2.85,281.36,227.8,0.808,22.5,
358,GH1_068,0.9,1.97,5.03,2.82,320.4,288.63,0.9,10.1,
378,GH1_069,0.88,2.12,4.97,2.8,237.98,188.4,0.789,25.2,
379,GH1_070,0.96,2.05,5.15,2.83,268.99,219.97,0.816,21.3,
384,GH1_071,1,2.15,4.98,2.8,271.71,217.97,0.8,23.7,
402,GH1_072,1.06,2.17,5.14,2.84,321.26,298.97,0.93,6.6,
404,GH1_073,0.9,2.18,5.13,2.83,287.02,265.67,0.925,7,
417,GH1_074,1.04,1.84,5.03,2.82,216.65,171.22,0.788,25.3,
428,GH1_075,0.99,2.2,5.06,2.87,225.55,174.12,0.769,28.4,
440,GH1_076,0.99,2.01,5.05,2.84,296.98,273.32,0.92,7.7,
442,GH1_077,1.01,1.8,5.06,2.83,293.09,267.44,0.912,8.6,
448,GH1_078,0.92,1.91,4.97,2.84,371.81,340.83,0.916,8.3,
457,GH1_079,0.97,1.94,4.99,2.85,296.07,240.88,0.812,22,
462,GH1_080,1,2.09,5.12,2.84,205.25,165.39,0.803,22.8,
467,GH1_081,0.93,1.9,4.92,2.85,332.36,300.6,0.904,9.7,
477,GH1_082,0.97,1.95,4.93,2.86,257.97,206.02,0.796,24.2,
486,GH1_083,0.94,1.93,5.03,2.86,243.39,199.53,0.818,20.8,
495,GH1_084,0.98,2,5.06,2.85,221.53,178.48,0.803,22.9,
499,GH1_085,0.92,1.8,5.18,2.81,294.21,241.79,0.82,20.8,
511,GH1_086,0.98,1.98,4.89,2.83,285.3,262.67,0.92,7.6,
514,GH1_087,1.06,2.03,4.93,2.85,290.66,237.93,0.817,21.2,
521,GH1_088,1.1,1.95,4.93,2.85,211.3,169.9,0.801,23.1,
528,GH1_089,0.99,2.12,5.03,2.85,349.33,323.39,0.925,7.2,
529,GH1_090,0.91,1.8,4.97,2.84,299.03,281.31,0.94,5.3,
533,GH1_091,1.04,2.17,4.96,2.82,235.18,189.92,0.805,22.7,
538,GH1_092,0.91,2.14,4.81,2.81,323.16,291.72,0.902,9.9,
549,GH1_093,0.92,2.11,4.99,2.87,338.49,275.47,0.812,22.1,
625,GH1_094,1.03,2.14,5.19,2.84,283.32,261.01,0.92,7.5,
633,GH1_095,0.9,2.06,4.96,2.83,245.06,198.14,0.806,22.6,
644,GH1_096,0.99,2.08,5.15,2.85,278.37,214.26,0.767,29,
667,GH1_097,0.98,2.15,4.94,2.86,299.79,275.3,0.918,7.9,
677,GH1_098,0.96,2.1,5.2,2.81,256.27,228.87,0.892,10.9,
685,GH1_099,0.94,2.09,5.17,2.82,262.87,241.78,0.919,7.6,
686,GH1_100,1,2.18,4.97,2.85,222.95,178.83,0.8,23.5,
694,GH1_101,0.92,2.13,5.16,2.87,331.25,307.56,0.928,6.8,
695,GH1_102,0.93,2.04,5.08,2.85,277.56,224.81,0.808,22.5,
714,GH1_103,0.91,2.17,5.14,2.86,317.97,293.36,0.922,7.5,
719,GH1_104,0.96,2.03,4.88,2.85,266.77,208.06,0.778,27.2,
721,GH1_105,0.92,2.09,4.93,2.83,247.81,203.08,0.817,20.9,
728,GH1_106,0.98,1.9,4.8,2.82,311.34,286.65,0.92,7.7,
737,GH1_107,1.02,2.04,4.9,2.84,204.74,169.57,0.826,19.4,
738,GH1_108,0.99,2.09,5.01,2.87,208.93,195.82,0.936,5.3,
756,GH1_109,0.97,2.09,5.09,2.82,262.07,245.05,0.934,5.9,
775,GH1_110,0.94,2.17,5.01,2.88,342.28,315.29,0.92,7.7,
783,GH1_111,1.01,2,4.92,2.83,237.32,176.77,0.742,33.2,
788,GH1_112,1.1,1.93,5.12,2.81,180.24,138.13,0.763,29,
792,GH1_113,0.95,2.15,4.88,2.93,192.86,149.74,0.773,27.4,
804,GH1_114,0.91,2,4.93,2.85,280.53,258,0.919,7.7,
809,GH1_115,0.94,2.08,5.03,2.87,203.69,166.89,0.817,20.7,
824,GH1_116,0.96,2.16,5.01,2.85,239.72,215.98,0.9,9.8,
825,GH1_117,0.9,1.89,5,2.81,255.64,199.85,0.779,26.9,
829,GH1_118,0.9,1.91,4.85,2.88,243.15,217.23,0.892,10.7,
834,GH1_119,1.07,1.84,4.89,2.86,222.71,177.43,0.794,24.3,
861,GH1_120,0.95,2.12,5.02,2.82,221.97,180.1,0.809,22,
863,GH1_121,1.04,1.96,4.91,2.8,208.13,164.78,0.789,25,
870,GH1_122,0.91,2.11,5.02,2.83,266.04,212.58,0.797,24.1,
893,GH1_123,0.97,1.87,5.14,2.83,235.6,209.3,0.887,11.4,
905,GH1_124,0.94,2.08,4.94,2.86,278.85,250.55,0.897,10.3,
912,GH1_125,0.99,2.04,4.93,2.84,223.78,205.7,0.918,7.5,
SH1_081,SH1_081,0.98,1.98,5.15,2.86,273.31,223.34,0.815,21.4,
SH1_082,SH1_082,0.92,2.04,5.11,2.83,248.91,196.17,0.786,25.8,