SH1_ID,FM_Soil_Mass_g,PerCMoisture,Notes,CNH2_ID_Field
SH1_001,1.07,13.10653146,NA,SH1_001
SH1_002,0.94,7.439573088,NA,SH1_002
SH1_003,0.96,15.90055249,NA,SH1_003
SH1_004,1.07,10.85220435,NA,SH1_004
SH1_005,0.98,26.42480542,NA,SH1_005
SH1_006,1.03,17.02504988,NA,SH1_006
SH1_007,1.08,22.10753721,NA,SH1_007
SH1_008,1.01,22.48775242,NA,SH1_008
SH1_009,1.09,13.80921339,analytical duplicate,SH1_009
SH1_010,1.08,13.80921339,analytical duplicate,SH1_009
SH1_011,1.01,11.96230599,NA,SH1_011
SH1_012,1.04,17.57689159,NA,SH1_012
SH1_013,0.99,15.43820225,NA,SH1_013
SH1_014,1.08,15.36535397,NA,SH1_014
SH1_015,1.01,18.38647012,NA,SH1_015
SH1_016,1.05,25.57442557,NA,SH1_016
SH1_017,0.97,8.215040773,NA,SH1_017
SH1_018,0.98,14.6595139,NA,SH1_018
SH1_019,0.95,17.40139211,NA,SH1_019
SH1_020,1.08,24.52175992,NA,SH1_020
SH1_021,1.05,16.15850177,NA,SH1_021
SH1_022,1.01,22.64284869,NA,SH1_022
SH1_023,1.05,17.10420727,analytical duplicate,SH1_023
SH1_024,1.07,17.10420727,analytical duplicate,SH1_023
SH1_025,1.07,16.67049897,NA,SH1_025
SH1_026,0.97,15.75178998,NA,SH1_026
SH1_027,0.94,18.05840748,NA,SH1_027
SH1_028,1.07,12.34923094,NA,SH1_028
SH1_029,1.06,19.87179487,NA,SH1_029
SH1_030,1.08,23.350987,NA,SH1_030
SH1_031,1.01,19.92096699,NA,SH1_031
SH1_032,1.01,8.849557522,NA,SH1_032
SH1_033,1.01,13.51761518,NA,SH1_033
SH1_034,1.03,15.87654047,NA,SH1_034
SH1_035,0.96,19.41348974,NA,SH1_035
SH1_036,0.97,12.91331546,NA,SH1_036
SH1_037,0.99,19.18476367,NA,SH1_037
SH1_038,0.98,9.332218623,NA,SH1_038
SH1_039,1.03,20.64214688,NA,SH1_039
SH1_040,0.98,19.16637802,NA,SH1_040
SH1_041,1.1,18.40159606,NA,SH1_041
SH1_042,0.94,19.12390769,NA,SH1_042
SH1_043,0.96,19.18228653,NA,SH1_043
SH1_044,1.04,22.29691238,NA,SH1_044
SH1_045,1.09,17.97240278,analytical duplicate,SH1_045
SH1_046,1.04,17.97240278,analytical duplicate,SH1_045
SH1_047,1.08,17.90864062,NA,SH1_047
SH1_048,0.94,16.01751038,NA,SH1_048
SH1_049,1.02,17.32070365,NA,SH1_049
SH1_050,1.05,14.94252874,NA,SH1_050
SH1_051,0.95,15.15911943,NA,SH1_051
SH1_052,0.96,9.799957438,NA,SH1_052
SH1_053,0.95,11.73802412,NA,SH1_053
SH1_054,0,NA,extraction blank,
SH1_055,0,NA,extraction blank,
SH1_056,0,NA,extraction blank,
SH1_057,0.96,23.46749942,analytical duplicate,SH1_057
SH1_058,1.07,23.46749942,analytical duplicate,SH1_057
SH1_059,1.06,20.2412106,analytical duplicate,SH1_059
SH1_060,0.94,20.2412106,analytical duplicate,SH1_059
SH1_061,0.94,27.83967062,NA,SH1_061
SH1_062,0.94,25.96273292,NA,SH1_062
SH1_063,0.91,25.64966314,NA,SH1_063
SH1_064,1.07,22.6264096,NA,SH1_064
SH1_065,0.92,24.75295252,NA,SH1_065
SH1_066,0.91,14.83571192,NA,SH1_066
SH1_067,1.05,17.38290132,NA,SH1_067
SH1_068,1.03,13.882956,NA,SH1_068
SH1_069,1.06,17.24614322,NA,SH1_069
SH1_070,0.98,24.95972239,NA,SH1_070
SH1_071,0.91,23.51814154,NA,SH1_071
SH1_072,1.1,21.40773158,NA,SH1_072
SH1_073,0.94,20.75581395,NA,SH1_073
SH1_074,1.02,24.39879154,NA,SH1_074
SH1_075,1.05,23.97753632,NA,SH1_075
SH1_076,0.96,19.17698304,NA,SH1_076
SH1_077,1.03,13.26439849,NA,SH1_077
SH1_078,0.98,12.57149265,NA,SH1_078
SH1_079,0.92,19.37477713,NA,SH1_079
SH1_080,1.06,16.96602219,NA,SH1_080
SH1_081,NA,22.66418723,NA,SH1_081
SH1_082,NA,27.27836971,NA,SH1_082
SH1_083,1.03,11.26776077,NA,SH1_083
SH1_084,1.07,23.24159021,NA,SH1_084
SH1_085,0,NA,extraction blank,
SH1_086,0,NA,extraction blank,