Sample_ID,FM_Soil_Mass_g
IL001_S_A,1.07
IL001_S_B,0.94
IL006_S_A,0.96
IL006_S_B,1.07
IL011_S,0.98
ILC2038_S,1.03
ILC1005_S,1.08
ILC2031_S,1.01
ILC2034_S-D1,1.09
ILC2034_S-D2,1.08
ILC2035_S,1.01
ILC2037_S,1.04
ILC2041_S,0.99
ILC2042_S,1.08
ILC3051_S,1.01
ILC3053_S,1.05
IN027_S_A,0.97
IN033_S,0.98
INC1011_S,0.95
INC1012_S,1.08
INC1014_S,1.05
INC1019_S,1.01
INC3064_S-D1,1.05
INC3064_S-D2,1.07
INC3065_S,1.07
MI005_S,0.97
MI007_S,0.94
MI010_S,1.07
MI012_S_A,1.06
MI012_S_B,1.08
MI012_S_C,1.01
MI015_S_A,1.01
MI015_S_B,1.01
MI018_S_B,1.03
MI019_S,0.96
MI029_S,0.97
MI034_S_A,0.99
MI034_S_B,0.98
MIC1001_S,1.03
MIC1013_S,0.98
MIC1017_S,1.1
MIC1018_S,0.94
MIC1020_S,0.96
MIC1027_S,1.04
MIC2034_S-D1,1.09
MIC2034_S-D2,1.04
MIC3051_S,1.08
MIC3053_S,0.94
MIC3056_S,1.02
MIC3058_S_A,1.05
MIC3058_S_B,0.95
MIC3061_S,0.96
MIC3070_S,0.95
B-2021-10-11-A,0
B-2021-10-11-B,0
B-2021-10-11-C,0
IL010_S-D1,0.96
IL010_S-D2,1.07
IL015_S-D1,1.06
IL015_S-D2,0.94
IL017_S,0.94
ILC1011_S,0.94
ILC1014_S,0.91
ILC1019_S,1.07
ILC3067_S,0.92
IN003_S,0.91
IN005_S,1.05
IN006_S,1.03
INC1001_S,1.06
INC1020_S,0.98
INC2037_S,0.91
INC2039_S,1.1
INC2046_S,0.94
INC2048_S,1.02
INC3067_S,1.05
MIC1021_S,0.96
Dairy1_I,1.03
Dairy1_NI,0.98
LTER_I,0.92
LTER_NI,1.06
NE_I,
NE_NI,
MI010_S_C,1.03
ILC2031_2,1.07
B-2021-10-26-A,0
B-2021-10-26-B,0